İlan Tarihi,Marka,Arac Tip Grubu,Arac Tip,Model Yıl,Yakıt Turu,Vites,CCM,Beygir Gucu,Renk,Kasa Tipi,Kimden,Durum,Km,Fiyat
2020-03-25,Hyundai,Tucson,1.6 GDI Style,2015.0,Benzin,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz,Arazi Aracı,Galeriden,2. El,75000,160000
2020-04-02,Ford,Fiesta,2023-04-01 00:00:00,2006.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz,Hatchback 3 Kapı,Galeriden,2. El,290000,21000
2020-04-01,Ford,Focus,1.6 TDCi Titanium,2012.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Beyaz,Hatchback 5 Kapı,Sahibinden,2. El,131000,113500
2020-04-01,Ford,Fiesta,1.4 Titanium,2010.0,Benzin/LPG,Düz Vites,Bilmiyorum,100 BG ve altı,Gri,Hatchback 5 Kapı,Sahibinden,2. El,177000,66000
2020-04-01,Ford,Fiesta,1.4 Titanium X,2012.0,Benzin,Düz Vites,1301-1600 cc,76-100 BG,Gri,Hatchback 5 Kapı,Sahibinden,2. El,93750,62750
2020-04-01,Ford,Focus,1.5 TDCi Trend X,2015.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Gümüş Gri,Sedan,Galeriden,2. El,125000,128500
2020-04-01,Ford,Fiesta,1.5 TDCi Trend X,2016.0,Dizel,Düz Vites,1301-1600 cc,51-75 BG,Beyaz,Hatchback 5 Kapı,Galeriden,2. El,96000,93750
2020-03-31,Ford,Fiesta,1.4 Titanium,2013.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Beyaz,Hatchback 5 Kapı,Sahibinden,2. El,182000,85000
2020-03-30,Ford,Focus,1.5 TDCi Titanium,2015.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Beyaz,Sedan,Galeriden,2. El,79000,116000
2020-03-30,Ford,Focus,1.6 TDCi Trend X,2015.0,Dizel,Düz Vites,Bilmiyorum,Bilmiyorum,Beyaz,Sedan,Sahibinden,2. El,83,114000
2020-03-28,Ford,Focus,1.6 TDCi Titanium,2010.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Gümüş Gri,Sedan,Galeriden,2. El,360000,80000
2020-03-28,Ford,Diğer,Diğer,2010.0,Dizel,Düz Vites,Bilmiyorum,100 BG ve altı,Beyaz,Minivan,Sahibinden,2. El,210674,39000
2020-03-27,Ford,Escort,-,1999.0,Benzin/LPG,Düz Vites,1301-1600 cc,51-75 BG,Gri,Hatchback 5 Kapı,Sahibinden,2. El,200000,23000
2020-03-26,Ford,Focus,1.6 TDCi Trend X,2013.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Gri,Sedan,Sahibinden,2. El,97270,102500
2020-03-26,Ford,Fiesta,1.4 TDCi Trend,2011.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz,Hatchback 5 Kapı,Sahibinden,2. El,170000,58500
2020-03-26,Ford,Fiesta,1.4 TDCi Trend,2012.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz,Hatchback 5 Kapı,Sahibinden,2. El,150000,70000
2020-03-26,Ford,Fiesta,1.5 TDCi Trend,2013.0,Dizel,Düz Vites,1301-1600 cc,51-75 BG,Beyaz,Hatchback 5 Kapı,Galeriden,2. El,164000,57000
2020-03-25,Ford,Focus,1.6 Ti-VCT Trend,2010.0,Dizel,Düz Vites,1601-1800 cc,101-125 BG,Gümüş Gri,Sedan,Sahibinden,2. El,241000,58500
2020-03-25,Ford,Focus,1.6 Collection,2004.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Mavi,Hatchback 5 Kapı,Sahibinden,2. El,192908,48800
2020-03-25,Ford,Focus,1.6 TDCi Trend X,2014.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz,Sedan,Sahibinden,2. El,63000,127500
2020-05-12,Jeep,Cherokee,2023-02-05 00:00:00,2000.0,Benzin/LPG,Otomatik Vites,2001-2500 cc,126-150 BG,Beyaz,Hatchback 5 Kapı,Galeriden,2. El,249038,70750
2020-03-25,Ford,Fiesta,1.0 Titanium,2019.0,Benzin,Otomatik Vites,1300 cc ve altı,Bilmiyorum,Beyaz,Hatchback 5 Kapı,Galeriden,0 km,0,160000
2020-03-24,Ford,Focus,1.6 TDCi Collection,2009.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Siyah,Sedan,Sahibinden,2. El,196000,66250
2020-03-24,Ford,Focus,1.6 Ghia,2000.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Bordo,Sedan,Sahibinden,2. El,268000,42000
2020-03-24,Ford,Focus,1.6 Ghia,2006.0,Dizel,Düz Vites,1601-1800 cc,Bilmiyorum,Gri,Sedan,Sahibinden,2. El,255,47500
2020-03-24,Ford,Focus,1.8 Di Ghia,2000.0,Dizel,Düz Vites,1601-1800 cc,76-100 BG,Yeşil,Station Wagon,Sahibinden,2. El,255,35000
2020-03-24,Ford,Focus,1.8 Di Ghia,2000.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Yeşil,Station Wagon,Sahibinden,2. El,255,35500
2020-03-24,Ford,Focus,1.6 TDCi Collection,2008.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Gri,Sedan,Galeriden,2. El,263000,53000
2020-03-24,Ford,Focus,1.6 Collection,2004.0,Benzin,Düz Vites,1301-1600 cc,100 BG ve altı,Gri,Hatchback 5 Kapı,Galeriden,2. El,1000,43500
2020-03-24,Ford,C-Max,1.6 Trend,2010.0,Benzin/LPG,Düz Vites,1601-1800 cc,101-125 BG,Gümüş Gri,MPV,Sahibinden,Hasarlı,114000,83500
2020-03-24,Ford,Focus,1.6 TDCi Trend X,2017.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz,Sedan,Galeriden,2. El,84500,130000
2020-03-24,Ford,Focus,1.6 TDCi Trend X,2017.0,Dizel,Düz Vites,1301-1600 cc,100 BG ve altı,Diğer,Diğer,Yetkili,0 km,70895,139250
2020-03-23,Ford,Focus,1.6 TDCi Titanium,2011.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Füme,Sedan,Sahibinden,2. El,127800,74950
2020-03-23,Ford,Focus,1.6 Collection,2011.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Mavi,Hatchback 5 Kapı,Sahibinden,2. El,154000,44500
2020-03-23,Ford,B-Max,1.6 TDCi Titanium X,2013.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz,MPV,Sahibinden,2. El,137200,95500
2020-03-22,Ford,Focus,1.5 TDCi Trend X,2017.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz,Sedan,Sahibinden,2. El,57000,150000
2020-03-22,Ford,Fiesta,1.25 Trend,2013.0,Benzin,Düz Vites,1300 cc ve altı,76-100 BG,Beyaz,Hatchback 5 Kapı,Sahibinden,2. El,53350,76000
2020-03-21,Ford,Fiesta,1.4 Comfort,2004.0,Dizel,Düz Vites,1301-1600 cc,51-75 BG,Beyaz,Hatchback 5 Kapı,Sahibinden,2. El,202000,43750
2020-05-27,Mercedes,A Serisi,A 180 CDI BlueEfficiency Style,2014.0,Dizel,Otomatik Vites,1301-1600 cc,126-150 BG,Siyah,Hatchback 5 Kapı,Galeriden,2. El,182000,199500
2020-03-21,Ford,Focus,1.5 TDCi Trend X,2015.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz,Sedan,Sahibinden,2. El,71500,134750
2020-03-21,Ford,Focus,1.6 Ambiente,2001.0,Benzin/LPG,Düz Vites,Bilmiyorum,Bilmiyorum,Bordo,Sedan,Galeriden,2. El,230000,36000
2020-03-21,Ford,Focus,1.6 TDCi Trend,2012.0,Dizel,Düz Vites,1301-1600 cc,100 BG ve altı,Gri,Diğer,Yetkili,0 km,135524,108250
2020-03-21,Ford,Focus,1.6 TDCi Trend X,2014.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Gümüş Gri,Sedan,Galeriden,2. El,107000,108000
2020-03-21,Ford,Focus,1.5 TDCi Trend X,2015.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz,Sedan,Sahibinden,2. El,137800,113500
2020-03-20,Ford,Focus,1.5 TDCi Trend X,2016.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz,Sedan,Galeriden,2. El,149000,124500
2020-03-19,Ford,Scorpio,2.0,1990.0,Benzin/LPG,Düz Vites,1801-2000 cc,101-125 BG,Bordo,Sedan,Galeriden,Hasarlı,2222,6250
2020-03-19,Ford,Focus,1.6 Ti-VCT Titanium,2014.0,Benzin,Yarı Otomatik Vites,1301-1600 cc,101-125 BG,Gri,Sedan,Sahibinden,2. El,90000,102750
2020-03-19,Ford,Focus,1.6 TDCi Trend X,2015.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz,Sedan,Galeriden,2. El,184000,107500
2020-05-27,Dacia,Dokker,"1.5 dCi Ambiance
",2015.0,Dizel,Düz Vites,1301-1600 cc,100 BG ve altı,Beyaz,Camlı Van,Galeriden,2. El,178535,63750
2020-06-16,Honda,Civic,1.6 i-VTEC Executive,2018.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,101-125 BG,Gümüş Gri,Sedan,Galeriden,Hasarlı,11,99000
2020-06-16,Honda,Civic,1.6 Elegance,2008.0,Benzin,Düz Vites,1301-1600 cc,101-125 BG,Siyah,Sedan,Galeriden,Hasarlı,89000,16600
2020-06-16,Honda,CR-V,2.0i Executive,2010.0,Benzin/LPG,Otomatik Vites,1801-2000 cc,126-150 BG,Siyah,Arazi Aracı,Galeriden,Hasarlı,33333,38000
2020-06-16,Honda,Accord,2.2 CDTi,2005.0,Dizel,Düz Vites,2001-2500 cc,126-150 BG,Siyah,Sedan,Galeriden,Hasarlı,112000,15500
2020-06-16,Honda,Civic,1.6 i-VTEC Executive,2018.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Beyaz,Sedan,Galeriden,2. El,7000,11000
2020-06-16,Honda,Accord,2023-06-01 00:00:00,1984.0,Benzin/LPG,Düz Vites,1301-1600 cc,100 BG ve altı,Gümüş Gri,Sedan,Galeriden,Hasarlı,100000,10000
2020-06-16,Honda,Accord,2023-06-01 00:00:00,1986.0,Benzin,Düz Vites,1301-1600 cc,100 BG ve altı,Ihlamur,Sedan,Galeriden,Hasarlı,100000,10000
2020-06-16,Honda,Civic,2023-04-01 00:00:00,1990.0,Benzin/LPG,Düz Vites,1301-1600 cc,100 BG ve altı,Kırmızı,Sedan,Galeriden,Hasarlı,100000,10000
2020-06-16,Honda,Accord,2.0 EX,1990.0,Benzin/LPG,Otomatik Vites,1801-2000 cc,100 BG ve altı,Füme,Sedan,Galeriden,Hasarlı,100000,10000
2020-06-16,Honda,Accord,"2.0
",1991.0,Benzin/LPG,Otomatik Vites,1801-2000 cc,101-125 BG,Gümüş Gri,Sedan,Galeriden,Hasarlı,100000,10000
2020-06-16,Honda,Accord,"2.0
",1991.0,Benzin,Düz Vites,1801-2000 cc,100 BG ve altı,Füme,Sedan,Galeriden,Hasarlı,100000,10000
2020-06-16,Honda,Integra,2023-08-01 00:00:00,1991.0,Benzin/LPG,Düz Vites,1601-1800 cc,101-125 BG,Kırmızı,Sedan,Galeriden,Hasarlı,100000,10000
2020-06-16,Honda,CRX,1.6i 16V,1991.0,Benzin/LPG,Düz Vites,1301-1600 cc,126-150 BG,Kırmızı,Hatchback 3 Kapı,Galeriden,Hasarlı,100000,10000
2020-06-16,Honda,CRX,1.6i 16V,1991.0,Benzin/LPG,Düz Vites,1301-1600 cc,126-150 BG,Kırmızı,Hatchback 3 Kapı,Galeriden,Hasarlı,100000,10000
2020-06-16,Honda,Accord,"2.0
",1994.0,Benzin/LPG,Düz Vites,1801-2000 cc,101-125 BG,Siyah,Sedan,Galeriden,Hasarlı,100000,10000
2020-06-16,Honda,Civic,2023-05-01 00:00:00,1995.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Mavi,Hatchback 3 Kapı,Galeriden,Hasarlı,100000,10000
2020-06-16,Honda,Civic,2023-05-01 00:00:00,1995.0,Benzin/LPG,Düz Vites,1301-1600 cc,100 BG ve altı,Kırmızı,Hatchback 3 Kapı,Galeriden,Hasarlı,100000,10000
2020-06-16,Honda,Civic,1.5 EX,1995.0,Benzin/LPG,Düz Vites,1301-1600 cc,100 BG ve altı,Beyaz,Hatchback 3 Kapı,Galeriden,Hasarlı,100000,10000
2020-06-16,Honda,Accord,2.0 ES,1996.0,Benzin/LPG,Otomatik Vites,1801-2000 cc,126-150 BG,Beyaz,Sedan,Galeriden,Hasarlı,100000,10000
2020-05-27,Jaguar,XF,2.0 D Prestige Plus,2017.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Lacivert,Hatchback 5 Kapı,Galeriden,2. El,26100,634500
2020-06-16,Honda,Accord,"2.0
",1996.0,Benzin/LPG,Düz Vites,1801-2000 cc,101-125 BG,Gümüş Gri,Sedan,Galeriden,Hasarlı,100000,10000
2020-06-16,Honda,Accord,"2.0
",1997.0,Benzin/LPG,Düz Vites,1801-2000 cc,101-125 BG,Siyah,Sedan,Galeriden,Hasarlı,100000,10000
2020-06-16,Honda,Civic,1.6 Euro LS,1996.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Beyaz,Hatchback 5 Kapı,Galeriden,Hasarlı,100000,10000
2020-06-16,Honda,Civic,1.6i LS Euro Civic,1997.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Beyaz,Hatchback 5 Kapı,Galeriden,Hasarlı,100000,10000
2020-06-16,Honda,Civic,1.4 iS,1997.0,Benzin,Düz Vites,1301-1600 cc,101-125 BG,Mavi,Hatchback 3 Kapı,Galeriden,Hasarlı,100000,10000
2020-06-16,Honda,Civic,1.4 1.4i,1997.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Siyah,Sedan,Galeriden,Hasarlı,100000,10000
2020-06-16,Honda,Civic,1.5 VTEC  Elegance,2018.0,Benzin,Yarı Otomatik Vites,1301-1600 cc,101-125 BG,Mavi,Sedan,Galeriden,2. El,33650,180000
2020-06-16,Honda,CR-V,2.0i ES,2001.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,126-150 BG,Siyah,Arazi Aracı,Galeriden,2. El,313000,74900
2020-06-16,Honda,Civic,1.6 i-VTEC Elegance,2011.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Beyaz,Sedan,Sahibinden,2. El,150000,102000
2020-06-16,Honda,Civic,1.6 i-VTEC Elegance,2007.0,Benzin/LPG,Düz Vites,1601-1800 cc,101-125 BG,Gümüş Gri,Sedan,Sahibinden,2. El,204000,85500
2020-06-15,Honda,Civic,1.6i VTEC Eco Executive,2018.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz,Sedan,Sahibinden,2. El,21500,203000
2020-06-14,Honda,Civic,1.6 Elegance,2011.0,Benzin/LPG,Otomatik Vites,1601-1800 cc,126-150 BG,Füme,Sedan,Sahibinden,2. El,192000,95500
2020-06-14,Honda,Civic,1.6 i-VTEC Elegance,2008.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,101-125 BG,Gümüş Gri,Sedan,Sahibinden,2. El,178000,104000
2020-06-14,Honda,Civic,1.6 i-VTEC Premium,2011.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,101-125 BG,Siyah,Sedan,Sahibinden,2. El,136000,94000
2020-06-13,Honda,Civic,1.5 EX,1993.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,76-100 BG,Gümüş Gri,Hatchback 3 Kapı,Sahibinden,2. El,217000,32000
2020-06-13,Honda,Civic,1.5i VTEC RS,2017.0,Benzin,Otomatik Vites,1301-1600 cc,176-200 BG,Beyaz,Sedan,Galeriden,2. El,38000,197500
2020-06-13,Honda,CR-V,1.6 i-DTEC Executive,2017.0,Dizel,Otomatik Vites,1301-1600 cc,151-175 BG,Siyah,Arazi Aracı,Galeriden,2. El,68000,289000
2020-06-13,Honda,Civic,1.6 i-VTEC Elegance,2010.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,101-125 BG,Siyah,Sedan,Galeriden,2. El,146000,125000
2020-06-12,Honda,Civic,1.6 i-VTEC LS,2004.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,101-125 BG,Gümüş Gri,Sedan,Sahibinden,2. El,133000,69950
2020-06-09,Renault,Fluence,1.5 dCi Touch,2014.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Gri,Sedan,Galeriden,2. El,124000,105500
2020-06-12,Honda,Accord,2.4 Executive,2004.0,Benzin/LPG,Otomatik Vites,2001-2500 cc,176-200 BG,Füme,Sedan,Sahibinden,2. El,308000,68900
2020-06-12,Honda,CR-V,1.6 i-DTEC Premium,2014.0,Dizel,Düz Vites,1300 cc ve altı,101-125 BG,Beyaz,Arazi Aracı,Galeriden,2. El,150000,169900
2020-06-12,Honda,Civic,1.6 ES,2005.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,76-100 BG,Gümüş Gri,Hatchback 5 Kapı,Sahibinden,2. El,305300,59500
2020-06-12,Honda,Civic,1.6 i-VTEC Elegance,2014.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,101-125 BG,Diğer,Sedan,Galeriden,0 km,107000,146750
2020-06-12,Honda,CR-V,1.6 i-DTEC Elegance,2006.0,Dizel,Otomatik Vites,1601-1800 cc,151-175 BG,Beyaz,Arazi Aracı,Galeriden,2. El,98000,249700
2020-06-12,Honda,Jazz,2023-04-01 00:00:00,2010.0,Benzin,Düz Vites,1301-1600 cc,51-75 BG,Mavi,Hatchback 5 Kapı,Galeriden,2. El,134000,77750
2020-06-11,Honda,Civic,1.6 i-VTEC Elegance,2016.0,Benzin/LPG,Yarı Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz,Sedan,Sahibinden,2. El,96000,164000
2020-06-11,Honda,Civic,1.8 Sport,2008.0,Dizel,Otomatik Vites,1601-1800 cc,100 BG ve altı,Siyah,Spor / Coupe,Galeriden,2. El,190000,83750
2020-06-11,Honda,Civic,1.6 i-VTEC Dream,2008.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Siyah,Sedan,Galeriden,2. El,182000,83750
2020-06-11,Honda,Civic,1.6 i-VTEC Dream,2011.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,101-125 BG,Gri,Sedan,Sahibinden,2. El,126900,92500
2020-06-11,Honda,Civic,1.6i VTEC Eco Elegance,2016.0,Benzin/LPG,Otomatik Vites,1601-1800 cc,101-125 BG,Bordo,Sedan,Sahibinden,2. El,72000,167500
2020-06-10,Honda,Civic,1.6 i-VTEC Premium,2008.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,101-125 BG,Gri,Sedan,Galeriden,2. El,216000,72500
2020-06-10,Honda,Civic,1.6 i-VTEC Premium,2012.0,Benzin/LPG,Otomatik Vites,1601-1800 cc,101-125 BG,Siyah,Sedan,Sahibinden,2. El,91000,110750
2020-06-09,Honda,Civic,1.6 i-VTEC Dream,2010.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Siyah,Sedan,Sahibinden,2. El,145626,92500
2020-06-08,Honda,Civic,1.6i VTEC Eco Premium,2015.0,Benzin,Otomatik Vites,1301-1600 cc,101-125 BG,Siyah,Sedan,Sahibinden,2. El,49922,148750
2020-06-08,Honda,CR-V,2.0i Executive,2010.0,Benzin/LPG,Otomatik Vites,1801-2000 cc,151-175 BG,Siyah,Arazi Aracı,Galeriden,2. El,144000,138500
2020-06-07,Honda,City,1.4 ES,2009.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Gümüş Gri,Sedan,Sahibinden,2. El,129,87000
2020-06-07,Honda,Civic,1.6i VTEC Eco Elegance,2019.0,Benzin/LPG,Otomatik Vites,Bilmiyorum,Bilmiyorum,Mavi,Sedan,Galeriden,2. El,60000,209000
2020-06-07,Honda,CR-V,1.6 i-DTEC Executive,2017.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz,Arazi Aracı,Galeriden,2. El,53500,285000
2020-04-09,Audi,Q7,3.0 TDI Quattro,2006.0,Dizel,Otomatik Vites,2501-3000 cc,276-300 BG,Gri,Arazi Aracı,Galeriden,2. El,274654,162750
2020-06-07,Honda,Civic,1.6 i-VTEC Elegance,2016.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz,Sedan,Sahibinden,2. El,68000,152000
2020-06-07,Honda,Civic,2023-06-01 00:00:00,2005.0,Benzin,Düz Vites,1301-1600 cc,101-125 BG,Gümüş,Sedan,Sahibinden,2. El,165000,65000
2020-06-06,Honda,Civic,1.6 Elegance,2018.0,Benzin/LPG,Otomatik Vites,1601-1800 cc,101-125 BG,Füme,Sedan,Sahibinden,2. El,11000,185500
2020-06-05,Honda,CR-V,2.0i ES,2002.0,Benzin,Otomatik Vites,1801-2000 cc,126-150 BG,Kahverengi,Arazi Aracı,Galeriden,2. El,197742,76750
2020-06-04,Honda,Civic,1.6 Elegance,2014.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,101-125 BG,Siyah,Sedan,Galeriden,0 km,99889,142750
2020-06-04,Honda,Civic,1.4 1.4i,1999.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Gümüş Gri,Sedan,Sahibinden,2. El,224000,51500
2020-06-02,Honda,Jazz,1.4 Sport,2008.0,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah,Hatchback 5 Kapı,Galeriden,2. El,175250,69750
2020-06-02,Honda,Civic,1.6i VTEC Eco Elegance,2018.0,Benzin/LPG,Otomatik Vites,1601-1800 cc,126-150 BG,Gümüş Gri,Sedan,Sahibinden,2. El,45000,187000
2020-06-02,Honda,Civic,1.6 Elegance,2016.0,Benzin,Otomatik Vites,1301-1600 cc,101-125 BG,Siyah,Sedan,Galeriden,0 km,51204,164900
2020-06-01,Honda,Civic,1.6 i-VTEC Executive,2020.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz,Sedan,Galeriden,0 km,300,225000
2020-06-01,Honda,CR-V,2.0i Elegance,2011.0,Benzin/LPG,Otomatik Vites,1801-2000 cc,101-125 BG,Beyaz,Arazi Aracı,Galeriden,2. El,127000,145000
2020-06-01,Honda,Jazz,1.4 LS,2005.0,Benzin,Düz Vites,1301-1600 cc,76-100 BG,Gri,Hatchback 5 Kapı,Sahibinden,2. El,198000,52750
2020-06-01,Honda,CR-V,2.0i Elegance,2011.0,Benzin/LPG,Otomatik Vites,1801-2000 cc,Bilmiyorum,Beyaz,Arazi Aracı,Galeriden,2. El,127000,145000
2020-06-01,Honda,City,1.4 ES,2010.0,Benzin/LPG,Düz Vites,1301-1600 cc,100 BG ve altı,Beyaz,Sedan,Galeriden,2. El,102000,88000
2020-06-01,Honda,City,1.4 ES,2009.0,Benzin/LPG,Düz Vites,1301-1600 cc,100 BG ve altı,Siyah,Sedan,Sahibinden,2. El,112000,69950
2020-05-31,Honda,Civic,1.6i VTEC Eco Elegance,2013.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Beyaz,Sedan,Sahibinden,2. El,85000,131000
2020-05-31,Honda,Civic,1.6 i-VTEC Dream,2010.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,101-125 BG,Siyah,Sedan,Sahibinden,2. El,114000,102500
2020-05-31,Honda,Civic,1.6 i-VTEC Premium,2009.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Siyah,Sedan,Sahibinden,2. El,215000,67500
2020-05-30,Honda,Civic,1.5i VTEC Sport,2017.0,Benzin,Otomatik Vites,1301-1600 cc,176-200 BG,Beyaz,Hatchback 5 Kapı,Galeriden,2. El,65500,149000
2020-03-25,Hyundai,Tucson,1.6 GDI Style,2015.0,Benzin,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz,Arazi Aracı,Galeriden,2. El,75000,160000
2020-05-30,Honda,Civic,1.6 i-VTEC Premium,2010.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,101-125 BG,Füme,Sedan,Sahibinden,2. El,153000,87000
2020-05-30,Honda,Civic,1.6i VTEC Eco Executive,2017.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz,Sedan,Sahibinden,2. El,28000,185500
2020-05-30,Honda,Civic,1.6i VTEC Eco Elegance,2013.0,Benzin/LPG,Yarı Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz,Sedan,Sahibinden,2. El,126000,139500
2020-05-29,Honda,CR-V,Diğer,2018.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Gümüş Gri,Arazi Aracı,Galeriden,2. El,90000,275000
2020-05-28,Honda,Civic,Diğer,1979.0,Benzin,Otomatik Vites,1300 cc ve altı,Bilmiyorum,Beyaz,Diğer,Galeriden,2. El,135000,50000
2020-05-28,Honda,Jazz,1.4 Fun,2009.0,Benzin,Yarı Otomatik Vites,1301-1600 cc,100 BG ve altı,Beyaz,Hatchback 5 Kapı,Galeriden,2. El,171781,86500
2020-05-28,Honda,Civic,1.5 VTEC Sport,2017.0,Benzin,Yarı Otomatik Vites,1301-1600 cc,176-200 BG,Beyaz,Hatchback 5 Kapı,Galeriden,2. El,95000,169500
2020-05-28,Honda,Civic,1.6 i-VTEC Executive,2016.0,Benzin/LPG,Otomatik Vites,Bilmiyorum,Bilmiyorum,Siyah,Hatchback 5 Kapı,Galeriden,2. El,61000,165000
2020-05-27,Honda,Civic,1.6i VTEC Eco Elegance,2019.0,Benzin/LPG,Yarı Otomatik Vites,1301-1600 cc,101-125 BG,Gri,Sedan,Galeriden,2. El,9900,191000
2020-05-27,Honda,Civic,1.6 i ES,1998.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,76-100 BG,Bordo,Sedan,Sahibinden,2. El,146000,46250
2020-05-26,Honda,Civic,1.6 i-VTEC Elegance,2008.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,101-125 BG,Gümüş Gri,Sedan,Sahibinden,2. El,199999,95000
2020-05-26,Honda,Civic,2023-07-01 00:00:00,2003.0,Dizel,Düz Vites,3501-4000 cc,126-150 BG,Gri,Spor / Coupe,Sahibinden,2. El,189000,53500
2020-05-25,Honda,Civic,1.6i VTEC Eco Elegance,2016.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Beyaz,Sedan,Sahibinden,2. El,131600,149500
2020-05-23,Honda,Civic,1.6 VTES ES,2003.0,Benzin/LPG,Düz Vites,1301-1600 cc,100 BG ve altı,Gümüş Gri,Sedan,Sahibinden,2. El,295,46500
2020-05-22,Honda,Civic,1.6 i ES,1998.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Gümüş Gri,Sedan,Galeriden,2. El,393000,41750
2020-05-20,Honda,Civic,1.6 Premium,2012.0,Benzin,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz,Sedan,Galeriden,2. El,15000,135000
2020-05-20,Honda,Civic,1.6 i-VTEC Elegance,2018.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,101-125 BG,Gri,Sedan,Galeriden,2. El,42500,149900
2020-05-27,Dacia,Dokker,"1.5 dCi Ambiance
",2015.0,Dizel,Düz Vites,1301-1600 cc,100 BG ve altı,Beyaz,Camlı Van,Galeriden,2. El,178535,63750
2020-05-20,Honda,Civic,2023-02-01 00:00:00,2017.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,101-125 BG,Füme,Sedan,Sahibinden,2. El,58000,181000
