İlan Tarihi,Marka,Arac Tip Grubu,Arac Tip,Model Yıl,Yakıt Turu,Vites,CCM,Beygir Gucu,Renk,Kasa Tipi,Kimden,Durum,Km,Fiyat
2020-06-10,Audi,A3,1.6 Attraction Sportback,2012.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Beyaz,Hatchback 5 Kapı,Galeriden,2. El,135000,83900
2020-06-09,Audi,A6,2.0 TDI,2011.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Gri,Sedan,Galeriden,2. El,141000,232000
2020-06-08,Audi,A6,2.0 TDI,2014.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,176-200 BG,Siyah,Sedan,Galeriden,2. El,174000,308750
2020-06-07,Audi,A4,2.0 TDI,2013.0,Dizel,Otomatik Vites,Bilmiyorum,Bilmiyorum,Siyah,Sedan,Galeriden,2. El,315000,175000
2020-06-07,Audi,A3,1.8 Ambiente,2000.0,Benzin/LPG,Otomatik Vites,1601-1800 cc,101-125 BG,Siyah,Hatchback 5 Kapı,Sahibinden,2. El,230000,44000
2020-06-06,Audi,A6,A6 Sedan 2.0 TDI,2016.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah,Sedan,Galeriden,2. El,83000,425000
2020-06-05,Audi,A4,A4 Sedan 2.0 TDI,2014.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah,Sedan,Galeriden,2. El,88000,193900
2020-06-05,Audi,A3,1.6 TDI Sedan,2016.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Siyah,Sedan,Galeriden,2. El,8000,255000
2020-06-03,Audi,A5,2.7 TDI,2009.0,Dizel,Yarı Otomatik Vites,2501-3000 cc,176-200 BG,Siyah,Spor / Coupe,Galeriden,2. El,126000,162500
2020-06-01,Audi,Q2,1.6 TDI Design,2020.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Kırmızı,Arazi Aracı,Galeriden,0 km,0,320000
2020-06-01,Audi,A3,A3 Sedan 1.6 TDI Design Line,2018.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Siyah,Sedan,Galeriden,2. El,35000,236000
2020-06-01,Audi,A4,A4 Sedan 2.0 TDI Quattro,2015.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah,Sedan,Galeriden,2. El,141000,222000
2020-06-01,Audi,A4,A4 Sedan 2.0 TDI Quattro,2015.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Siyah,Sedan,Galeriden,2. El,141000,222000
2020-06-01,Audi,A4,2.0 TDI,2014.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Beyaz,Sedan,Galeriden,2. El,113000,225000
2020-06-01,Audi,A6,A6 Sedan 2.0 TDI,2017.0,Dizel,Otomatik Vites,1300 cc ve altı,Bilmiyorum,Siyah,Sedan,Galeriden,2. El,80000,450000
2020-05-30,Audi,A4,2.0 TDI,2014.0,Dizel,Otomatik Vites,1801-2000 cc,151-175 BG,Beyaz,Sedan,Galeriden,2. El,210000,200000
2020-05-30,Audi,A4,2023-06-01 00:00:00,1996.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,76-100 BG,Lacivert,Sedan,Galeriden,2. El,100,33500
2020-05-30,Audi,A6,A6 Sedan 2.0 TDI,2011.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Beyaz,Sedan,Galeriden,2. El,226000,185000
2020-06-13,Volkswagen,Polo,1.4 TDI Comfortline,2017.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz,Hatchback 5 Kapı,Galeriden,2. El,142000,123500
2020-05-30,Audi,A6,2.0 TDI,2007.0,Dizel,Düz Vites,1801-2000 cc,126-150 BG,Mavi,Sedan,Galeriden,2. El,198000,120000
2020-05-30,Audi,A4,2.0 TDI,2012.0,Dizel,Otomatik Vites,1801-2000 cc,126-150 BG,Siyah,Sedan,Sahibinden,2. El,168000,165000
2020-05-29,Audi,A6,"2.0 Quattro
",2016.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Siyah,Sedan,Galeriden,2. El,70000,475000
2020-05-29,Audi,A3,"1.6 TDI Sportback
",2019.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz,Hatchback 5 Kapı,Galeriden,2. El,19000,249950
2020-05-29,Audi,A3,A3 Cabrio 1.5 TFSI Sport Line,2018.0,Benzin,Yarı Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz,Spor / Coupe,Galeriden,2. El,21000,335000
2020-05-28,Audi,A3,Diğer,2017.0,Benzin,Yarı Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz,Hatchback 5 Kapı,Galeriden,2. El,25000,225000
2020-05-28,Audi,A4,1.4 TFSI,2016.0,Benzin,Otomatik Vites,1301-1600 cc,126-150 BG,Bej,Sedan,Galeriden,2. El,37700,297900
2020-05-28,Audi,A6,2.0 TDI,2013.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Siyah,Sedan,Galeriden,2. El,164000,269900
2020-05-28,Audi,A3,A3 Sportback 1.6 TDI Attraction,2014.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz,Hatchback 5 Kapı,Galeriden,2. El,79000,162000
2020-05-28,Audi,Q5,2.0 TDI Quattro,2011.0,Dizel,Otomatik Vites,1801-2000 cc,151-175 BG,Beyaz,Arazi Aracı,Galeriden,2. El,117000,255000
2020-05-27,Audi,A3,A3 Sedan 1.6 TDI Dynamic,2017.0,Dizel,Otomatik Vites,1301-1600 cc,151-175 BG,Lacivert,Sedan,Galeriden,2. El,52500,208500
2020-05-27,Audi,A5,A5 Sportback 1.4 TFSI Sport,2017.0,Benzin,Otomatik Vites,1301-1600 cc,126-150 BG,Mavi,Hatchback 5 Kapı,Galeriden,2. El,29000,445000
2020-05-26,Audi,A5,A5 Sportback 1.4 TFSI Sport,2017.0,Benzin,Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz,Hatchback 5 Kapı,Sahibinden,2. El,51750,399999
2020-05-25,Audi,A5,2.0 TDI Quattro,2012.0,Dizel,Otomatik Vites,1801-2000 cc,101-125 BG,Beyaz,Sedan,Galeriden,2. El,200000,222000
2020-05-23,Audi,A6,1.9 TDI,2004.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,126-150 BG,Gümüş Gri,Sedan,Galeriden,2. El,311000,65000
2020-05-23,Audi,A4,2023-06-01 00:00:00,2001.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Beyaz,Sedan,Galeriden,2. El,300000,42500
2020-05-21,Audi,A4,2.0 TDI,2016.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,176-200 BG,Siyah,Sedan,Galeriden,2. El,121280,267500
2020-05-17,Audi,Q2,1.0 TFSI Design,2019.0,Benzin,Otomatik Vites,1300 cc ve altı,101-125 BG,Beyaz,Arazi Aracı,Galeriden,2. El,4500,265000
2020-05-17,Audi,A4,2.0 TDI,2012.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,176-200 BG,Siyah,Sedan,Galeriden,2. El,202000,182500
2020-05-21,Land Rover,Discovery Sport,2.0 TD4 HSE,2016.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Beyaz,Arazi Aracı,Galeriden,2. El,200550,444500
2020-05-17,Audi,A4,A4 Sedan 2.0 TDI,2008.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Gri,Sedan,Galeriden,2. El,290000,86000
2020-05-17,Audi,Q7,2.0 TFSI Quattro,2016.0,Benzin,Otomatik Vites,1801-2000 cc,Bilmiyorum,Füme,Arazi Aracı,Galeriden,2. El,32000,722000
